long,lat
-43.7491541725758,-22.8688517242216
-43.7482317400229,-22.8686642841959
-43.7482338152067,-22.868654859972
-43.7480832933653,-22.868626398202
-43.7479118802899,-22.8685992867412
-43.7478859817602,-22.868594023971
-43.7478241139851,-22.8685854051538
-43.7474639713027,-22.8685284425311
-43.747307036256,-22.8685084202703
-43.74706433846,-22.8684803264856
-43.7469073695377,-22.868464006994
-43.7468078373593,-22.8684541382435
-43.7466469587334,-22.8684389606922
-43.7462919719362,-22.868411533556
-43.7461194512052,-22.8684011417355
-43.7459270846965,-22.8683913225151
-43.7457836422683,-22.8683853175306
-43.7457560905415,-22.8683840659132
-43.7457176612735,-22.868381564389
-43.7455841253161,-22.8683724054536
-43.7455188290534,-22.8683710486167
-43.7452298509342,-22.8683311672414
-43.7450807346159,-22.868319603426
-43.7448436694928,-22.8683039136867
-43.7446763034431,-22.8682947357736
-43.7445090051155,-22.868287316609
-43.7444325001075,-22.8682821205841
-43.7442859620634,-22.8682729942623
-43.7441485799683,-22.8682639237373
-43.744115584195,-22.8682617973432
-43.7439677128456,-22.8682525013799
-43.7439405012592,-22.8682508261406
-43.7439266841709,-22.868249993502
-43.743916488819,-22.8682491094125
-43.7436575881984,-22.868229879643
-43.743490233124,-22.8682195268057
-43.743384955089,-22.8682135441143
-43.7432958555961,-22.8682089290584
-43.7431889948766,-22.8681974906157
-43.7429443680352,-22.8681741993223
-43.742930762152,-22.8681730644189
-43.742910252186,-22.8681708014062
-43.742512237205,-22.8681345424696
-43.7423514246674,-22.8681229736908
-43.7416427271735,-22.8680959773851
-43.741465050921,-22.8680952049606
-43.74130397031,-22.8680957380414
-43.741150930443,-22.8680974163847
-43.7409088148922,-22.8681028598796
-43.7407558400269,-22.8681080619929
-43.7396556092367,-22.8682035630522
-43.7394896989985,-22.8682268170312
-43.7391305722827,-22.8682835326659
-43.738977690043,-22.8683104103768
-43.7385156863892,-22.8684024380248
-43.7384178014937,-22.8684242490831
-43.7384176345029,-22.8684234747913
-43.7382595635451,-22.8684527493649
-43.7381539746817,-22.8684746866905
-43.7381525357404,-22.8684748846943
-43.7381525513961,-22.8684749823942
-43.7379835247369,-22.8685100995023
-43.7379771010742,-22.8685112698385
-43.7379771344503,-22.8685114271492
-43.7379538458363,-22.8685162655928
-43.7376106687779,-22.8685592529873
-43.7375229903404,-22.868575717182
-43.7371752993715,-22.868651556036
-43.7371378602703,-22.8686564125886
-43.7370933461225,-22.8686639172339
-43.736995116725,-22.8686805089878
-43.7369675070144,-22.8686852107109
-43.7369142044246,-22.8686943612758
-43.7368013647033,-22.8687172803927
-43.7365338172266,-22.8685123948262
-43.7364049568194,-22.8684154137814
-43.7362366681526,-22.868290947506
-43.7361156862906,-22.8682002670581
-43.7356703555774,-22.8678614518858
-43.7356176305818,-22.8678211951328
-43.7354572745512,-22.8676950673695
-43.7353585541128,-22.8676184527148
-43.735077083464,-22.86740292455
-43.7349440819596,-22.8672998215742
-43.7348476013991,-22.8672259998163
-43.7346021278278,-22.867040618638
-43.7343560378994,-22.8668525048638
-43.7342154719176,-22.8667470697935
-43.7340372132972,-22.8666158798161
-43.7339744806178,-22.8665689959466
-43.7337755029048,-22.8664184269783
-43.7336590000467,-22.8663293340611
-43.7327318528964,-22.865701582412
-43.7325976987957,-22.8656215359858
-43.7315800778236,-22.8650913995748
-43.73141808573,-22.8650184741729
-43.7312394395258,-22.864940115892
-43.7311386680204,-22.8648970686494
-43.730568239853,-22.8646734749591
-43.7304001782871,-22.8646133580047
-43.7297691538409,-22.8644103708786
-43.7296843917679,-22.8643860868325
-43.729540590447,-22.864343821166
-43.7294197208407,-22.8643082969234
-43.7293102496427,-22.8642747491981
-43.7292627606455,-22.8642603211127
-43.7289620729603,-22.8641697564782
-43.7286497113618,-22.8640810110421
-43.7284819599354,-22.864036187041
-43.728329891428,-22.8639938560675
-43.7279927343653,-22.8639060899968
-43.7278047042652,-22.8638605043716
-43.7275166960761,-22.8637950016183
-43.7272816630903,-22.863745047434
-43.7269124258609,-22.8636735093018
-43.7266925883733,-22.863635015385
-43.7258989305025,-22.8635271738153
-43.7257958691374,-22.8635171637662
-43.7249481320026,-22.8634693046255
-43.7247180531865,-22.8634656235539
-43.7242122340363,-22.8634859237604
-43.7240197950922,-22.863437359395
-43.7237326565791,-22.8633836276301
-43.722662552089,-22.8632400810552
-43.7221907856546,-22.863201394961
-43.7219660637529,-22.8631943596769
-43.7216913600182,-22.86277995233
-43.7205293209173,-22.8619583401846
-43.7202430657251,-22.8616853973914
-43.7202461041534,-22.8616828156769
-43.7201399007438,-22.8615754723524
-43.7200846578564,-22.8615201022778
-43.7199846187015,-22.8614206686555
-43.7198647964895,-22.8613036834546
-43.7197400924987,-22.8611840888391
-43.7194615513411,-22.8609310939814
-43.7194003084125,-22.8608720033397
-43.7193755445498,-22.8608529749911
-43.7193617981308,-22.8608404892628
-43.7192385284114,-22.8607344553532
-43.7192310361605,-22.8607419357542
-43.7177040509529,-22.8595685923929
-43.717573803616,-22.8594896858754
-43.7170366625881,-22.8591867322482
-43.7169077712231,-22.8591192173
-43.7166606537686,-22.858994104173
-43.7165293929072,-22.8589299121168
-43.7155662023535,-22.8585192961746
-43.7154044883515,-22.8584600051423
-43.7152243450052,-22.8583958611833
