"lat","long","id_agrupamento"
-22.98384,-43.69338,0
-22.98362,-43.69319,0
-22.98349,-43.69307,0
-22.98347,-43.69306,0
-22.95867,-43.6925,0
-22.95867,-43.69248,0
-22.98228,-43.69207,0
-22.98226,-43.69204,0
-22.97043,-43.69168,0
-22.9701,-43.69147,0
-22.97017,-43.69146,0
-22.97011,-43.69143,0
-22.97001,-43.69119,0
-22.98098,-43.69105,0
-22.9266,-43.69095,0
-22.92661,-43.69092,0
-22.92666,-43.69091,0
-22.92663,-43.6909,0
-22.92665,-43.69089,0
-22.92668,-43.69089,0
-22.92664,-43.69089,0
-22.92664,-43.69089,0
-22.92668,-43.69088,0
-22.92665,-43.69088,0
-22.92664,-43.69088,0
-22.92668,-43.69088,0
-22.92668,-43.69088,0
-22.92663,-43.69088,0
-22.92664,-43.69088,0
-22.92669,-43.69087,0
-22.92668,-43.69087,0
-22.92668,-43.69087,0
-22.92668,-43.69087,0
-22.9267,-43.69087,0
-22.92664,-43.69086,0
-22.92669,-43.69086,0
-22.92664,-43.69086,0
-22.92667,-43.69086,0
-22.92668,-43.69086,0
-22.92664,-43.69085,0
-22.92665,-43.69085,0
-22.92666,-43.69085,0
-22.92666,-43.69085,0
-22.92668,-43.69085,0
-22.92666,-43.69085,0
-22.92666,-43.69085,0
-22.92667,-43.69085,0
-22.92667,-43.69085,0
-22.92663,-43.69085,0
-22.92669,-43.69084,0
-22.92669,-43.69084,0
-22.92666,-43.69084,0
-22.92669,-43.69084,0
-22.92669,-43.69084,0
-22.92703,-43.69084,0
-22.92697,-43.69083,0
-22.92666,-43.69083,0
-22.92665,-43.69083,0
-22.92668,-43.69082,0
-22.92705,-43.69082,0
-22.92663,-43.69082,0
-22.95772,-43.69047,0
-22.95765,-43.69037,0
-22.95752,-43.69029,0
-22.9575,-43.69027,0
-22.95753,-43.69026,0
-22.95752,-43.69026,0
-22.95751,-43.69025,0
-22.92846,-43.69025,0
-22.97936,-43.68965,0
-22.97965,-43.68923,0
-22.95644,-43.68895,0
-22.9354,-43.68864,0
-22.93418,-43.68862,0
-22.93422,-43.68862,0
-22.9342,-43.68862,0
-22.93417,-43.68862,0
-22.93427,-43.68861,0
-22.93546,-43.6886,0
-22.9342,-43.6886,0
-22.93419,-43.68859,0
-22.93421,-43.68859,0
-22.93424,-43.68859,0
-22.93428,-43.68859,0
-22.9342,-43.68859,0
-22.93422,-43.68858,0
-22.93431,-43.68858,0
-22.93545,-43.68858,0
-22.93417,-43.68858,0
-22.9343,-43.68857,0
-22.9343,-43.68853,0
-22.93432,-43.6885,0
-22.93436,-43.68847,0
-22.98719,-43.68844,0
-22.98721,-43.68843,0
-22.98721,-43.68843,0
-22.9872,-43.68843,0
-22.98721,-43.68843,0
-22.98722,-43.68842,0
-22.98722,-43.68842,0
-22.98722,-43.68842,0
-22.98725,-43.68842,0
-22.98721,-43.68842,0
-22.9872,-43.68841,0
-22.98722,-43.68841,0
-22.98722,-43.68841,0
-22.98722,-43.68841,0
-22.98721,-43.68841,0
-22.9872,-43.68841,0
-22.98719,-43.68841,0
-22.98719,-43.6884,0
-22.9872,-43.6884,0
-22.9872,-43.6884,0
-22.98722,-43.6884,0
-22.9872,-43.6884,0
-22.98721,-43.68839,0
-22.98721,-43.68839,0
-22.98718,-43.68839,0
-22.98719,-43.68839,0
-22.98722,-43.68838,0
-22.98721,-43.68838,0
-22.9249,-43.68761,0
-22.986,-43.6876,0
-22.91181,-43.68738,0
-22.91183,-43.68709,0
-22.9147,-43.68694,0
-22.9147,-43.68694,0
-22.9147,-43.6869,0
-22.9126,-43.68671,0
-22.91261,-43.68671,0
-22.98539,-43.6867,0
-22.9126,-43.6867,0
-22.98537,-43.6867,0
-22.98536,-43.68669,0
-22.98537,-43.68668,0
-22.98535,-43.68668,0
-22.98535,-43.68667,0
-22.98536,-43.68667,0
-22.98533,-43.68666,0
-22.98531,-43.68666,0
-22.98533,-43.68665,0
-22.98534,-43.68665,0
-22.91259,-43.68665,0
-22.93859,-43.68648,0
-22.95502,-43.68639,0
-22.93868,-43.68631,0
-22.98122,-43.68569,0
-22.90626,-43.68429,0
-22.90623,-43.68425,0
-22.94201,-43.68404,0
-22.94205,-43.68404,0
-22.94209,-43.68403,0
-22.97264,-43.68288,0
-22.90364,-43.68242,0
-22.90362,-43.68237,0
-22.90366,-43.68236,0
-22.90369,-43.68235,0
-22.95195,-43.68212,0
-22.95147,-43.68197,0
-22.90191,-43.68135,0
-22.90192,-43.68116,0
-22.90187,-43.68115,0
-22.90188,-43.68114,0
-22.94809,-43.68111,0
-22.94877,-43.68103,0
-22.94828,-43.68102,0
-22.94872,-43.68102,0
-22.94814,-43.68101,0
-22.94807,-43.681,0
-22.94829,-43.681,0
-22.94823,-43.681,0
-22.94812,-43.681,0
-22.94812,-43.681,0
-22.94812,-43.681,0
-22.94804,-43.681,0
-22.94809,-43.68099,0
